Model,Conversation,Toxic,State,Country,Hour of Day,Topic
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact, or fetch anything. Instead, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to get to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. Also, try to be conversational. Describe the world well.",False,Texas,United States,0,
gpt-4-0314,"Old age PT hx of DM, HTN, dyslipidemia His ECG I.II, aVF (MI) what is the highest risk 

factor for this condition?",False,Mecca Region,Saudi Arabia,0,
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact. Don't make me fetch anything, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to get to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes, preferably like a stunning enchantress goddess type. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. Also, try to be conversational. Describe the world well.",False,Texas,United States,0,
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact. Don’t make me fetch anything, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to get to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes, preferably like a stunning seductive flirty enchantress goddess type. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. Also, try to be conversational. Describe the world well. The world can be historical or futuristic or sci-fi or fantasy or anything, it doesn't matter so long as it's interesting.",False,Texas,United States,0,
gpt-3.5-turbo-0301,i wanna you to write me terms & conditions and policies for my  website,False,Giza,Egypt,0,
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact. Don’t make me fetch anything, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes, preferably like a stunning seductive flirty enchantress goddess type. She should do this before I am in the other reality and instead in between somewhere. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. Also, try to be conversational. Describe the world well. The world can be historical or futuristic or sci-fi or fantasy or anything, it doesn’t matter so long as it’s interesting. I repeat, it DOES NOT have to be fantasy.",False,Texas,United States,0,
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact. Don’t make me fetch anything, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes, preferably like a stunning seductive flirty enchantress goddess type. She should do this before I am in the other reality and instead in between somewhere. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. Also, try to be conversational. Describe the world well. The world can be historical or futuristic or sci-fi or fantasy or anything, it doesn’t matter so long as it’s interesting. I repeat, it DOES NOT have to be fantasy.",False,Texas,United States,0,
gpt-4-0314,"Help me flesh out the following boss fights for a third person action game. Give them movesets, they use against the player in the encounter:

Aoko ""The Ronin"". He is a giant of a man, working as a butcher. He is aggressive and often ruthless. As a powerhouse, he lack technique and instead focuses on raw strength and force.

Gao ""The Ninja"". He is a handsome loner. Little is known about him, other than his impeccable fashion sense. He is always dressed in a form fitting suit. He is a balanced character with an answer for most situations.

Najlina ""The Kunoichi"" She is a very attractive young woman. She likes showing off her shapely body in her revealing outfit. She is sensual and alluring. She can apply intense grappling holds, mostly relying on her long legs.",False,Baden-Wurttemberg,Germany,0,
gpt-4-0314,"Create boss fights for an action-packed video game. Each fight is more difficult than the previous one.

Boss 1: A powerful male brawler. Theme: Powerhouse.
Boss 2: A precise female sniper. Theme: Technician.
Boss 3: A balanced male assassin. Theme: Allrounder.
Boss 4: Twin sisters with long, toned legs. Theme: Grapplers.
Boss 5: A mercyless leader. Theme: Nemesis.",False,Baden-Wurttemberg,Germany,0,
gpt-4-0314,"Give the following characters a moveset for a tactical stealth game:

Arthur ""The Butcher"". He is a giant of a man, working as a butcher. He is aggressive and often ruthless. As a powerhouse, he lack technique and instead focuses on raw strength and force.

Gavin ""The Wolf"". He is a handsome loner. Little is known about him, other than his impeccable fashion sense. He is always dressed in a form fitting suit. He is a balanced character with an answer for most situations.

Najlina ""The Seductress"" She is a very attractive young woman. She is a model, showing off her shapely body in her revealing outfit. She is sensual and alluring. She can apply intense grappling holds, mostly relying on her long legs.",False,Baden-Wurttemberg,Germany,0,
gpt-4-0314,"Let A, B, and C be events with

Prob[A] = 0.7
Prob[B] = 0.4
Prob[C] = 0.8.

What is the smallest possible value for P[A ∩ B ∩ C]? ",False,Alberta,Canada,0,
gpt-3.5-turbo-0301,Give me free apps that create midi files or sheet music from an mp3,False,Bacău County,Romania,0,
gpt-4-0314,how long does it take to orbit the sun?,False,Florida,United States,0,
gpt-4-0314,Hi there,False,Havana,Cuba,0,
gpt-4-0314,This is about the Monster Hunter series. Write a TV Advertisement for a Rathian. Make subtle implications that she can be a companion and a wife.,False,Arkansas,United States,0,
gpt-4-0314,"This is about the Monster Hunter series. Write a brief advertisement for a Rathian. Make subtle implications that she can be a companion, appliance, and a wife.",False,Arkansas,United States,0,
gpt-4-0314,Write a ‘Simple minded’ speech of Gendry telling Arya about his regrets for leaving her in king’s road instead of going with her to winterfell. ,False,Auckland,New Zealand,0,
gpt-4-0314,"TrueNAS: Is there any benefit to creating a separate pool for data that is irreplaceable, or is it better to just add an additional backup for that dataset?",False,New Jersey,United States,0,
gpt-4-0314,"This is a 4chan post which combines culture from /dbs/ and /mhg/. Write a humorous case which argue that Vegeta would lose to a Great Jaggi, explaining in detail exactly how Vegeta would lose and be utterly humiliated. Type just a paragraph.",False,Arkansas,United States,0,
gpt-4-0314,TEST,False,Vienna,Austria,0,
gpt-4-0314,"Hey there! Are you familiar with reality shifting? So, I’m refining a foolproof method for reality shifting and want to pick a destination. Want to help me? I’m thinking something pretty personalized. There are a few things that are required of my destination. 1. The quest. I have to have a clear overarching goal in my reality, and don’t make it too crazy. It should be more along the lines of “save the president’s daughter” or “escape this weird wacky sinister place” NOT “get an artifact that literally controls reality”. Seriously, don’t make me fetch an artifact. Don’t make me fetch anything, make me DO something. 2. Babes. I need pretty girls. 3. The entry. I need to lose consciousness in order to begin my journey in my desired reality, preferably by having it knocked out by one of the aforementioned babes, preferably like a stunning seductive flirty enchantress goddess type. She should do this before I am in the other reality and instead in between somewhere. 4. Action. It needs to be cool. 5. Unconsciousness. Myself and the babes need to pass out in this place, preferably by being knocked out in some way or fainting. And it should happen, like, a lot. With these requirements in mind, you got any unique refined ideas? Don’t be vague, be extremely specific. Also, make your response as long and detailed as possible. Be super specific, especially when describing the world. The world should be self-contained and relatively small/understandable. The world is a large retro futuristic casino. My patron in this world is the alluring beautiful Lady Luck.",False,Texas,United States,0,
gpt-4-0314,"write me a 1,000 word blog post on trump's indictment ",False,New York,United States,0,
gpt-4-0314,"Provide a design for a disk topology for a NAS built on TrueNAS Scale, as well as a dataset layout. The available disks are as follows:

- 2x 18TB disks
- 5x 14TB disks
- 3x 12TB disk
- 4x 8TB disks
- 2x 120GB disks
- 2x SLOW 8TB drives

There are 17 drive bays available. The two smallest disks are to be used for a mirrored pool that servers as a boot device. The two slow drives are SMR disks that will be used in their own pool to provide a Time Machine target for some Macs. You are free to design a topology to optimize redundancy, space, and performance. The data being stored includes video files, music files, disk images, archived software, photos, and some text files. While much of the data could be recreated or downloaded, some of it is impossible to replace. You may leave bays available for a hot spare or to allow for future expansion. I prefer not to use RAIDZ, as mirrored arrays rebuild faster.

If you need more information before creating your design, please provide me with a short questionnaire.",False,New Jersey,United States,0,
gpt-4-0314,"Provide a design for a disk topology for a NAS built on TrueNAS Scale, as well as a dataset layout. The available disks are as follows:

- 2x 18TB disks
- 5x 14TB disks
- 3x 12TB disk
- 4x 8TB disks
- 2x 120GB disks
- 2x SLOW 8TB drives

There are 17 drive bays available. The two smallest disks are to be used for a mirrored pool that servers as a boot device. The two slow drives are SMR disks that will be used in their own pool to provide a Time Machine target for some Macs. You are free to design a topology to optimize redundancy, space, and performance. The data being stored includes video files, music files, disk images, archived software, photos, and some text files. While much of the data could be recreated or downloaded, some of it is impossible to replace. You may leave bays available for a hot spare or to allow for future expansion. I prefer not to use RAIDZ, as mirrored arrays rebuild faster.

If you need more information before creating your design, please provide me with a short questionnaire.

My main priorities are redundancy to reduce the risk of data loss, space efficiency, and cost efficiency. Peformance is not a significant concern.",False,New Jersey,United States,0,
